Name,Texture,FrameDuration,Frames
RockBlockBreak,woods_specialtiles,,7
RockBlockFragment,woods_specialtiles, ,8
RockBlock,woods_specialtiles, ,6
IceBlockBreak,woods_specialtiles, ,4
MetalBlockShine,metalblock,4,0 1 2 3 4 4 4 4 4
RubberBlockBounce,woods_specialtiles,2,29 30
VRBackground1,vrbackground1,2,0 1 2 3 4 5
VRBackground2,vrbackground2,2,0 1 2 3 4
VRBackground3,vrbackground3,2,0 1 2 3 4
HealthGuage,items,,7 8
LivesCounter,items,8,4 4 4 4 4 4 4 4 4 4 4 4 5 6 5
GemsCounter,items,4,0 1 2 3
IronKnightHelmet,ironknight,,28
RedStealthHelmet,redstealth,,0
VanishingBlock,woods_specialtiles,2,12 18
MushroomGrow,woods_specialtiles,8,11 10 9.
MushroomShrink,woods_specialtiles,8,9 10 11.
Mushroom,woods_specialtiles,8,9
